loan_status,loan_amnt,term,int_rate,installment,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,desc,purpose,debt_to_income_ratio,derog_pub_rec,mean_fico_scores,grade
Fully Paid,7200,36 months,9.91,232.02,6,RENT,135000,Not Verified,0,1,credit_card,6.12,0,697,B
Fully Paid,9500,36 months,8.9,301.66,7,MORTGAGE,50000,Not Verified,0,1,credit_card,8.18,0,722,A
Charged Off,18825,60 months,16.77,465.53,10 +,RENT,38000,Verified,0,0,debt_consolidation,23.18,0,702,D
Fully Paid,24000,36 months,10.65,781.76,10 +,RENT,45000,Verified,0,1,debt_consolidation,14.8,0,727,B
Fully Paid,6000,36 months,13.49,203.59,10 +,RENT,80000,Not Verified,0,0,debt_consolidation,11.58,0,667,C
Fully Paid,6000,36 months,13.49,203.59,5,RENT,50000,Not Verified,0,0,debt_consolidation,15.38,0,692,C
Fully Paid,2100,36 months,12.42,70.18,10 +,MORTGAGE,30000,Not Verified,0,1,vacation,19.72,0,692,B
Fully Paid,5500,36 months,6.62,168.88,8,MORTGAGE,110000,Verified,0,1,small_business,9.69,0,742,A
Fully Paid,11000,36 months,6.62,337.75,8,OWN,45608,Source Verified,0,1,debt_consolidation,20.5,0,737,A
Fully Paid,26800,60 months,20.89,723.38,3,MORTGAGE,120000,Verified,0,0,debt_consolidation,12.15,0,682,F
Fully Paid,8000,36 months,12.69,268.36,5,MORTGAGE,35000,Not Verified,0,0,debt_consolidation,10.05,0,707,B
Charged Off,10000,36 months,18.25,362.78,unknown,RENT,75000,Source Verified,0,0,credit_card,24.14,0,667,D
Fully Paid,8000,36 months,11.71,264.61,9,MORTGAGE,35000,Verified,0,1,credit_card,9.7,0,692,B
Fully Paid,10000,36 months,8.9,317.54,6,RENT,24000,Verified,0,0,debt_consolidation,7,0,712,A
Fully Paid,12000,36 months,11.71,396.92,2,MORTGAGE,126000,Not Verified,0,1,debt_consolidation,13.32,0,697,B
Fully Paid,10000,36 months,7.9,312.91,unknown,RENT,43000,Not Verified,0,0,debt_consolidation,25.26,0,732,A
Fully Paid,12000,36 months,9.91,386.7,unknown,RENT,50000,Not Verified,0,0,debt_consolidation,16.44,0,727,B
Charged Off,25000,60 months,13.49,575.12,10 +,MORTGAGE,67000,Verified,0,1,credit_card,14.15,0,742,C
Charged Off,19750,36 months,10.65,643.33,4,RENT,45000,Verified,0,1,debt_consolidation,22.8,0,722,B
Fully Paid,10000,36 months,9.91,322.25,3,RENT,31200,Source Verified,0,1,debt_consolidation,14.81,0,712,B
Fully Paid,13650,36 months,12.42,456.12,4,RENT,66000,Verified,0,1,debt_consolidation,24.09,0,677,B
Charged Off,28000,60 months,19.91,312.04,10 +,RENT,52000,Verified,0,1,debt_consolidation,20.7,0,687,E
Fully Paid,18000,36 months,7.9,563.23,10 +,RENT,56964,Source Verified,0,1,debt_consolidation,27.55,0,722,A
Fully Paid,2500,36 months,14.27,85.78,7,RENT,49500,Source Verified,0,0,debt_consolidation,10.33,0,672,C
Fully Paid,21000,60 months,20.3,559.89,10 +,RENT,70000,Verified,0,1,credit_card,23.21,0,672,E
Fully Paid,35000,36 months,8.9,1111.37,6,MORTGAGE,125000,Verified,0,1,debt_consolidation,22.71,0,742,A
Fully Paid,10000,36 months,7.51,311.11,3,RENT,33000,Not Verified,0,1,credit_card,9.75,0,747,A
Fully Paid,7000,36 months,12.69,234.82,More than 1,RENT,30000,Source Verified,0,1,credit_card,15.8,0,677,B
Charged Off,24000,36 months,15.96,843.3,8,MORTGAGE,90000,Source Verified,0,0,home_improvement,9.17,0,717,C
Fully Paid,10625,36 months,7.51,330.56,5,MORTGAGE,23000,Not Verified,0,1,medical,18.89,0,732,A
Fully Paid,5000,36 months,14.65,172.48,2,RENT,24000,Source Verified,0,0,debt_consolidation,18.3,0,672,C
Fully Paid,8850,36 months,6.62,271.73,10 +,RENT,62000,Source Verified,0,1,credit_card,17.71,0,737,A
Fully Paid,6375,36 months,7.51,198.34,4,RENT,44000,Source Verified,0,0,debt_consolidation,4.8,0,732,A
Fully Paid,6000,36 months,11.71,198.46,unknown,RENT,90000,Not Verified,0,0,credit_card,2.97,0,682,B
Charged Off,11100,36 months,6.62,340.82,10 +,RENT,41000,Verified,0,1,credit_card,29.85,0,757,A
Fully Paid,10000,60 months,12.69,225.95,2,MORTGAGE,56000,Source Verified,0,1,debt_consolidation,10.82,0,737,B
Fully Paid,6200,36 months,6.03,188.71,5,MORTGAGE,26500,Not Verified,0,0,small_business,18.2,0,772,A
Fully Paid,15000,36 months,18.64,547.12,unknown,RENT,54000,Not Verified,0,0,debt_consolidation,19.69,0,662,E
Fully Paid,4200,36 months,11.71,138.92,2,RENT,53000,Not Verified,0,1,other,16.91,0,682,B
Fully Paid,14000,36 months,14.27,480.33,4,RENT,52800,Not Verified,0,1,debt_consolidation,7.36,0,682,C
Fully Paid,8875,36 months,7.51,276.11,unknown,MORTGAGE,38000,Not Verified,0,0,debt_consolidation,23.53,0,742,A
Fully Paid,13500,36 months,9.91,435.04,7,RENT,38000,Verified,0,0,debt_consolidation,12.38,0,747,B
Charged Off,12000,36 months,9.91,386.7,2,RENT,42000,Not Verified,0,1,debt_consolidation,7.83,0,727,B
Fully Paid,16000,60 months,19.91,423.11,4,RENT,55000,Verified,0,1,debt_consolidation,15.8,0,667,E
Fully Paid,21600,60 months,19.42,565.32,8,MORTGAGE,60000,Source Verified,0,1,debt_consolidation,16.74,0,677,E
Fully Paid,6000,36 months,10.65,195.44,6,MORTGAGE,87000,Not Verified,0,1,home_improvement,12.86,0,692,B
Fully Paid,8450,60 months,16.77,208.97,5,OWN,25000,Verified,0,0,debt_consolidation,22.51,0,692,D
Fully Paid,20000,60 months,13.49,460.1,unknown,RENT,82000,Not Verified,0,0,credit_card,17.68,0,717,C
Charged Off,10000,36 months,11.71,330.76,8,RENT,60000,Not Verified,0,1,debt_consolidation,22.08,0,697,B
Fully Paid,12000,36 months,16.29,423.61,5,MORTGAGE,80000,Verified,0,1,credit_card,18.18,0,687,D
Charged Off,13475,60 months,13.49,309.99,10 +,RENT,25000,Verified,0,1,credit_card,21.89,0,732,C
Fully Paid,7200,36 months,12.42,240.59,5,RENT,48000,Not Verified,0,0,major_purchase,17.43,0,687,B
Charged Off,5600,36 months,14.65,193.17,unknown,MORTGAGE,85000,Not Verified,0,0,debt_consolidation,12.24,0,677,C
Fully Paid,12000,36 months,14.27,411.71,More than 1,RENT,57000,Verified,0,0,debt_consolidation,10.86,0,682,C
Fully Paid,8500,36 months,6.03,258.71,2,RENT,25000,Not Verified,0,1,credit_card,1.73,0,762,A
Fully Paid,8000,36 months,9.91,257.8,2,RENT,34000,Source Verified,0,1,credit_card,18.28,0,712,B
Fully Paid,8000,36 months,12.42,267.33,10 +,RENT,40000,Not Verified,0,0,credit_card,15,0,692,B
Fully Paid,16000,60 months,15.27,382.92,10 +,RENT,42656.4,Source Verified,0,1,debt_consolidation,17.44,0,737,C
Fully Paid,15000,36 months,17.27,536.81,2,MORTGAGE,44400,Source Verified,0,0,house,3.59,1,672,D
Fully Paid,10000,36 months,9.91,322.25,2,OWN,30000,Not Verified,0,0,debt_consolidation,11.24,0,732,B
Fully Paid,10000,36 months,6.62,307.04,5,MORTGAGE,70000,Not Verified,0,1,credit_card,16.78,0,742,A
Fully Paid,8000,36 months,14.65,275.96,3,RENT,28000,Not Verified,0,1,car,12.6,0,677,C
Fully Paid,22000,36 months,9.91,708.95,2,MORTGAGE,50000,Verified,0,1,debt_consolidation,13.22,0,742,B
Fully Paid,6000,36 months,14.27,205.86,10 +,MORTGAGE,94800,Verified,0,1,car,24.53,0,697,C
Fully Paid,16000,60 months,9.91,339.25,10 +,OWN,40000,Verified,0,1,debt_consolidation,9.39,0,782,B
Charged Off,2500,36 months,7.51,77.78,unknown,OWN,12000,Source Verified,0,1,debt_consolidation,16.3,0,732,A
Fully Paid,13500,36 months,9.91,435.04,2,MORTGAGE,36000,Source Verified,0,0,credit_card,22.93,0,727,B
Fully Paid,25000,36 months,12.42,835.39,2,RENT,225000,Verified,0,0,debt_consolidation,8.32,0,712,B
Fully Paid,10000,36 months,13.49,339.31,2,RENT,45900,Verified,0,1,small_business,24.97,0,692,C
Fully Paid,2500,36 months,13.49,84.83,4,RENT,27200,Not Verified,0,1,debt_consolidation,6.44,0,687,C
Fully Paid,7325,36 months,12.69,245.72,unknown,RENT,42000,Not Verified,0,1,debt_consolidation,22.57,0,682,B
Fully Paid,4000,36 months,12.42,133.67,5,RENT,135000,Verified,0,0,credit_card,12.12,0,697,B
Charged Off,10000,36 months,13.49,339.31,5,RENT,65000,Not Verified,0,0,small_business,6.92,0,692,C
Charged Off,7750,36 months,17.27,277.36,More than 1,RENT,24000,Not Verified,0,1,debt_consolidation,16.1,0,667,D
Charged Off,20000,60 months,20.89,539.84,6,RENT,70000,Source Verified,0,1,debt_consolidation,16.63,0,667,F
Fully Paid,9600,36 months,12.42,320.79,10 +,RENT,65000,Verified,0,1,debt_consolidation,11.65,0,687,B
Charged Off,21000,60 months,11.71,464.07,3,RENT,60000,Not Verified,0,0,debt_consolidation,6.62,0,737,B
Fully Paid,14000,36 months,10.65,456.03,3,RENT,30000,Source Verified,0,1,credit_card,15.52,0,702,B
Fully Paid,13350,36 months,12.42,446.1,10 +,RENT,43000,Not Verified,0,1,debt_consolidation,20.57,0,707,B
Charged Off,15000,36 months,16.77,533.08,10 +,RENT,42000,Verified,0,0,debt_consolidation,19.63,0,667,D
Charged Off,15000,36 months,17.27,536.81,8,RENT,75000,Source Verified,0,0,debt_consolidation,16.03,0,667,D
Fully Paid,11000,60 months,13.49,253.06,10 +,MORTGAGE,129000,Verified,0,1,debt_consolidation,10.94,0,722,C
Fully Paid,35000,36 months,10.65,1140.07,2,MORTGAGE,168000,Verified,0,0,debt_consolidation,3.17,0,762,B
Fully Paid,9000,36 months,10.65,293.16,9,MORTGAGE,74000,Source Verified,0,0,credit_card,8.89,0,707,B
Fully Paid,22475,60 months,15.27,537.87,7,MORTGAGE,52000,Verified,0,1,debt_consolidation,15.23,0,717,C
Charged Off,16000,36 months,12.69,536.72,unknown,RENT,58500,Source Verified,0,1,debt_consolidation,20.64,0,697,B
Fully Paid,13500,36 months,12.69,452.86,5,RENT,71000,Source Verified,0,0,debt_consolidation,11.97,0,712,B
Fully Paid,24000,36 months,12.69,805.08,10 +,RENT,75000,Verified,0,0,debt_consolidation,11.6,0,702,B
Fully Paid,12000,36 months,10.65,390.88,5,RENT,60000,Not Verified,0,1,credit_card,10.84,0,717,B
Fully Paid,8400,60 months,16.77,207.73,5,RENT,87996,Not Verified,0,1,major_purchase,11.35,0,687,D
Fully Paid,28000,60 months,17.58,704.64,5,MORTGAGE,140000,Verified,0,1,home_improvement,12.07,0,717,D
Fully Paid,14000,36 months,6.62,429.86,10 +,RENT,66000,Source Verified,0,1,debt_consolidation,11.15,0,752,A
Charged Off,12000,36 months,14.27,411.71,8,MORTGAGE,70000,Not Verified,0,0,other,8.4,0,692,C
Fully Paid,25000,36 months,11.71,826.9,10 +,MORTGAGE,100000,Verified,0,1,debt_consolidation,6.88,0,737,B
Fully Paid,9000,36 months,12.69,301.91,5,RENT,50000,Source Verified,0,1,debt_consolidation,17.81,0,697,B
Fully Paid,13250,36 months,10.65,431.6,4,RENT,35000,Not Verified,0,1,debt_consolidation,24.93,0,722,B
Fully Paid,20000,36 months,13.49,678.61,6,RENT,75000,Verified,0,0,debt_consolidation,22.38,0,717,C
Fully Paid,3000,36 months,14.65,103.49,5,RENT,71000,Verified,0,0,medical,21.84,0,682,C
Fully Paid,7350,36 months,10.65,239.42,10 +,MORTGAGE,48000,Not Verified,0,0,debt_consolidation,11.93,0,697,B
Fully Paid,11500,36 months,15.27,400.18,5,RENT,36000,Not Verified,0,0,debt_consolidation,21.1,0,672,C
Charged Off,13650,36 months,12.42,456.12,10 +,MORTGAGE,86000,Not Verified,0,1,debt_consolidation,12.29,0,702,B
Charged Off,10500,36 months,16.29,370.66,3,RENT,30000,Source Verified,0,0,debt_consolidation,15,0,682,D
Fully Paid,12000,36 months,9.91,386.7,2,RENT,60000,Not Verified,0,1,debt_consolidation,15.5,0,717,B
Fully Paid,6000,36 months,8.9,190.52,3,RENT,34000,Not Verified,0,0,credit_card,14.51,0,717,A
Fully Paid,11500,36 months,15.27,400.18,10 +,MORTGAGE,44200,Verified,0,1,credit_card,21.69,0,687,C
Fully Paid,7000,36 months,12.42,233.91,7,MORTGAGE,82000,Not Verified,0,0,debt_consolidation,12,0,692,B
Fully Paid,29500,60 months,20.3,786.51,6,MORTGAGE,83000,Source Verified,0,0,debt_consolidation,20.93,0,692,E
Fully Paid,2000,36 months,15.27,69.6,2,RENT,41000,Verified,0,1,moving,17.74,0,682,C
Fully Paid,11625,36 months,13.49,394.45,More than 1,MORTGAGE,36000,Source Verified,0,0,credit_card,19.33,0,692,C
Charged Off,15075,36 months,14.27,517.21,10 +,RENT,35000,Verified,0,0,debt_consolidation,20.16,0,702,C
Fully Paid,5300,36 months,15.27,184.43,unknown,RENT,30000,Verified,0,1,credit_card,24.88,0,662,C
Fully Paid,8200,36 months,6.62,251.77,More than 1,RENT,40000,Source Verified,0,0,home_improvement,11.1,0,752,A
Fully Paid,12000,36 months,12.42,400.99,9,MORTGAGE,105000,Not Verified,0,1,credit_card,13.98,0,702,B
Fully Paid,8650,36 months,14.27,296.78,4,MORTGAGE,45000,Source Verified,0,0,credit_card,7.6,0,682,C
Fully Paid,21000,60 months,17.27,294.98,10 +,MORTGAGE,109000,Verified,0,1,debt_consolidation,7.75,0,697,D
Fully Paid,12000,36 months,12.42,400.99,2,RENT,83000,Not Verified,0,0,debt_consolidation,11.81,0,702,B
Charged Off,9500,36 months,12.69,318.68,More than 1,MORTGAGE,52500,Source Verified,0,1,moving,23.54,0,697,B
Fully Paid,7400,36 months,13.49,251.09,More than 1,OWN,25000,Source Verified,0,0,debt_consolidation,8.45,0,692,C
Fully Paid,14400,36 months,13.49,488.6,10 +,MORTGAGE,60000,Not Verified,0,1,debt_consolidation,16.92,0,692,C
Fully Paid,24250,60 months,23.91,519.76,7,MORTGAGE,120000,Verified,0,1,debt_consolidation,12.96,0,672,G
Charged Off,7200,36 months,7.9,225.29,3,RENT,68000,Source Verified,0,0,debt_consolidation,7.98,0,722,A
Charged Off,26000,60 months,16.77,642.96,10 +,MORTGAGE,53000,Verified,0,1,home_improvement,11.77,0,732,D
Charged Off,7000,60 months,11.71,154.69,6,MORTGAGE,69600,Verified,0,0,credit_card,26.22,0,732,B
Fully Paid,4000,36 months,7.51,124.45,More than 1,RENT,65000,Source Verified,0,0,major_purchase,18.17,0,722,A
Fully Paid,1500,36 months,17.27,53.69,10 +,MORTGAGE,144000,Verified,0,1,debt_consolidation,8.23,0,667,D
Fully Paid,19600,36 months,12.42,654.94,2,RENT,75000,Verified,0,0,credit_card,11.62,0,697,B
Fully Paid,2500,36 months,11.71,82.69,7,MORTGAGE,29000,Verified,0,1,debt_consolidation,18.7,0,687,B
Charged Off,10000,36 months,12.69,335.45,2,RENT,70000,Not Verified,0,1,credit_card,2.69,0,687,B
Fully Paid,10000,36 months,6.62,307.04,5,RENT,45000,Not Verified,0,0,credit_card,26.85,0,742,A
Fully Paid,4225,36 months,12.42,141.18,5,MORTGAGE,55200,Not Verified,0,0,other,17.61,0,692,B
Fully Paid,3500,36 months,7.9,109.52,7,MORTGAGE,61440,Not Verified,0,1,vacation,6.46,0,717,A
Fully Paid,12000,36 months,6.62,368.45,10 +,MORTGAGE,56000,Not Verified,0,0,debt_consolidation,13.65,0,737,A
Fully Paid,16500,36 months,8.9,523.93,More than 1,RENT,47000,Source Verified,0,1,debt_consolidation,9.06,0,747,A
Fully Paid,22000,60 months,21.67,603.5,More than 1,RENT,55000,Verified,0,0,debt_consolidation,15.62,0,667,F
Fully Paid,12000,36 months,14.65,413.94,unknown,RENT,71000,Verified,0,1,credit_card,14.87,0,677,C
Charged Off,15600,60 months,12.69,352.48,10 +,RENT,50000,Source Verified,0,0,vacation,5.78,0,742,B
Fully Paid,10800,36 months,12.42,360.89,8,RENT,135000,Verified,0,0,credit_card,12.12,0,677,B
Fully Paid,14000,36 months,12.42,467.82,10 +,MORTGAGE,63000,Not Verified,0,0,credit_card,7.35,0,717,B
